date,league,home_team,away_team,home_goals,away_goals,status,season
2024-04-13T21:30:00Z,BSA,SC Internacional,EC Bahia,2,1,FINISHED,2024
2024-04-13T21:30:00Z,BSA,Criciúma EC,EC Juventude,1,1,FINISHED,2024
2024-04-14T00:00:00Z,BSA,Fluminense FC,RB Bragantino,2,2,FINISHED,2024
2024-04-14T00:00:00Z,BSA,São Paulo FC,Fortaleza EC,1,2,FINISHED,2024
2024-04-14T19:00:00Z,BSA,CR Vasco da Gama,Grêmio FBPA,2,1,FINISHED,2024
2024-04-14T19:00:00Z,BSA,SC Corinthians Paulista,CA Mineiro,0,0,FINISHED,2024
2024-04-14T19:00:00Z,BSA,CA Paranaense,Cuiabá EC,4,0,FINISHED,2024
2024-04-14T19:00:00Z,BSA,AC Goianiense,CR Flamengo,1,2,FINISHED,2024
2024-04-14T20:00:00Z,BSA,Cruzeiro EC,Botafogo FR,3,2,FINISHED,2024
2024-04-14T21:30:00Z,BSA,EC Vitória,SE Palmeiras,0,1,FINISHED,2024
2024-04-17T00:30:00Z,BSA,EC Bahia,Fluminense FC,2,1,FINISHED,2024
2024-04-17T22:00:00Z,BSA,RB Bragantino,CR Vasco da Gama,2,1,FINISHED,2024
2024-04-17T22:00:00Z,BSA,Grêmio FBPA,CA Paranaense,2,0,FINISHED,2024
2024-04-17T23:00:00Z,BSA,CA Mineiro,Criciúma EC,1,1,FINISHED,2024
2024-04-17T23:00:00Z,BSA,Fortaleza EC,Cruzeiro EC,1,1,FINISHED,2024
2024-04-17T23:00:00Z,BSA,EC Juventude,SC Corinthians Paulista,2,0,FINISHED,2024
2024-04-17T23:00:00Z,BSA,SE Palmeiras,SC Internacional,0,1,FINISHED,2024
2024-04-18T00:30:00Z,BSA,CR Flamengo,São Paulo FC,2,1,FINISHED,2024
2024-04-19T00:30:00Z,BSA,Botafogo FR,AC Goianiense,1,0,FINISHED,2024
2024-04-20T19:00:00Z,BSA,Fluminense FC,CR Vasco da Gama,2,1,FINISHED,2024
2024-04-20T21:30:00Z,BSA,RB Bragantino,SC Corinthians Paulista,1,0,FINISHED,2024
2024-04-20T21:30:00Z,BSA,Grêmio FBPA,Cuiabá EC,1,0,FINISHED,2024
2024-04-21T00:00:00Z,BSA,CA Mineiro,Cruzeiro EC,3,0,FINISHED,2024
2024-04-21T19:00:00Z,BSA,CA Paranaense,SC Internacional,1,0,FINISHED,2024
2024-04-21T19:00:00Z,BSA,SE Palmeiras,CR Flamengo,0,0,FINISHED,2024
2024-04-21T19:00:00Z,BSA,EC Vitória,EC Bahia,2,2,FINISHED,2024
2024-04-21T21:30:00Z,BSA,AC Goianiense,São Paulo FC,0,3,FINISHED,2024
2024-04-21T21:30:00Z,BSA,Botafogo FR,EC Juventude,5,1,FINISHED,2024
